Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,Construction_recorded,schedule_recorded,Window_Count,w_north,w_north-east,w_east,w_south-east,w_south,w_south-west,w_west,w_north-west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Cooling,Heating,Lighting,Equipment
61.38,4,0.187,0.187,0.093,0,0,3,0,0,0,0,0,1,0,1,10.26,0,0,0,0,0,0,0,0,28.78,30.28,8.96,2.38
97.85,2,0.346,0.346,0.173,0,0,3,0,0,0,0,1,0,1,0,10.38,0,0,0,1,1,1,1,0,75.1,41.04,6.99,2.38
103.41,4,0.077,0.077,0.038,0,2,3,0,1,0,1,0,0,0,0,8.88,0,0,0,0,0,0,0,0,32.49,35.52,7.29,2.38
82.4,2,0.047,0.047,0.047,0,1,4,0,0,0,0,0,1,0,1,9.88,0,0,1,1,0,0,0,0,18.36,34.37,6.47,1.59
53.25,1,0.061,0.061,0.03,0,0,5,0,1,0,0,0,1,0,1,14.07,0,0,0,0,0,0,0,0,23.17,40.85,7.75,2.38
124.73,4,0.286,0.286,0.286,0,0,4,0,1,0,1,0,0,0,0,8.75,1,0,0,0,0,0,0,0,18.38,30.89,9.64,1.59
86.05,5,0.048,0.048,0.024,0,1,4,0,0,0,0,1,0,1,0,11.09,0,0,1,1,1,0,0,0,35.5,34.41,8.03,2.38
93.76,2,0.032,0.032,0.032,0,2,4,0,1,0,0,0,0,0,1,11.79,0,0,0,0,1,1,0,0,12.37,27.71,6.86,1.59
82.36,1,0.081,0.081,0.041,0,1,4,0,1,0,1,0,0,0,0,8.48,0,0,0,0,0,0,0,0,23.36,42.5,9.79,2.38
82.36,5,0.144,0.144,0.072,0,0,4,1,0,0,0,0,1,1,0,14.38,0,0,0,1,0,0,0,1,47.36,31.12,7.23,2.38
96.92,2,0.083,0.083,0.042,0,0,3,0,0,0,0,1,0,1,0,14.6,0,0,1,0,1,0,0,0,34.01,25.21,7.19,2.38
62.66,5,0.047,0.047,0.023,0,1,3,0,0,0,0,0,1,0,1,11.62,0,0,0,0,0,1,0,0,33.82,41.67,7.06,2.38
49.23,4,0.086,0.086,0.043,1,2,3,0,1,0,0,0,0,0,1,11.62,1,1,1,0,0,0,1,1,29.14,16.51,7.07,2.38
