Floor Area,Floor Number,#ofPeople,Construction_recorded,schedule_recorded,Window Count,w_north,w_east,w_south,w_west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Building Type,Heating,Lighting,Equipment
131.303092,2,0.022848,0,2,3,1,1,1,0,24.96,0,0,0,0,0,0,0,0,1,94.15,16,5.76
114.94659,0,0.0087,0,3,2,0,1,1,0,16.11,0,0,0,1,0,0,1,0,0,47.37,17.4,5.76
153.463865,1,0.019549,0,0,2,1,1,0,0,19.31,0,0,0,0,0,1,1,0,1,67.43,17.57,5.76
91.645884,0,0.032735,0,3,2,0,0,1,1,14.97,1,0,1,0,0,0,1,0,0,58.02,17.95,5.76
55.457059,1,0.036064,1,0,3,1,0,1,1,16.05,0,0,0,0,0,0,0,0,1,64.39,16.85,5.76
71.891582,1,0.04173,0,0,2,0,0,1,1,12.79,1,0,1,0,1,0,1,0,1,78.56,17.2,5.76
99.371642,2,0.010063,0,1,3,1,1,1,0,21.44,0,0,1,0,0,0,0,0,1,102.11,15.6,5.76
127.643884,0,0.023503,0,3,3,1,1,1,0,25.7,0,0,0,0,0,0,0,0,0,45.19,17.36,5.76
98.575513,0,0.030434,0,3,2,1,1,0,0,15.3,0,0,0,0,0,0,1,0,0,50.11,18.39,5.76
78.917712,2,0.012671,0,1,2,1,1,0,0,14.16,0,0,1,0,0,0,0,0,1,105.76,15.53,5.76
92.712943,1,0.05393,0,0,2,1,0,0,1,14.91,1,0,0,0,0,0,0,0,1,68.15,16.95,5.76
103.037993,1,0.048526,0,0,2,1,1,0,0,15.7,0,0,0,0,0,0,0,0,1,68.09,16.53,5.76
100.818168,2,0.009919,0,2,2,0,0,1,1,15.62,0,0,0,1,0,0,0,0,1,97.91,16.24,5.76
89.588465,2,0.022324,1,0,2,1,0,0,1,14.69,0,0,1,0,0,0,0,0,1,49.69,15.62,5.76
100.221595,1,0.029934,0,0,2,0,0,1,1,15.35,1,0,0,0,0,0,1,0,1,73.7,16.95,5.76
103.197413,2,0.01938,1,0,2,0,1,1,0,15.57,0,0,0,0,0,0,1,0,1,45.7,16.28,5.76
73.03114,2,0.068464,0,0,2,0,1,1,0,13.8,0,0,0,0,0,0,0,0,1,72.39,15.59,5.76
99.341278,0,0.030199,0,3,2,0,1,1,0,15.18,1,1,0,0,0,0,0,0,0,46.39,17.76,5.76
73.620256,1,0.04075,0,0,2,1,1,0,0,13.08,0,0,1,0,0,0,0,0,1,77.27,15.75,5.76
101.209074,0,0.029642,0,3,2,0,0,1,1,15.59,0,0,0,0,0,0,0,0,0,57.72,18.09,5.76
73.071225,2,0.027371,1,0,2,1,1,0,0,12.9,0,1,1,1,0,0,0,0,1,52.88,15.63,5.76
67.285304,1,0.044586,0,0,2,1,1,0,0,13.75,0,0,1,1,1,1,0,0,1,80.96,16.67,5.76
69.390728,2,0.028822,1,0,2,1,1,0,0,13.12,0,0,0,1,1,1,0,0,1,54.28,15.58,5.76
101.739004,2,0.029487,0,0,2,0,1,1,0,15.42,0,0,0,0,0,0,0,1,1,66.34,15.7,5.76
96.579911,2,0.020708,1,0,2,1,0,0,1,15.42,1,0,0,0,0,0,0,0,1,50.54,15.66,5.76
89.795982,2,0.033409,0,0,2,1,0,0,1,14.37,0,0,0,0,0,1,1,1,1,71.72,15.6,5.76
67.113003,1,0.0298,1,0,2,1,0,0,1,12.3,1,1,1,1,0,0,0,1,1,53.88,16,5.76
95.175964,2,0.021014,1,0,3,1,0,1,1,21.28,0,0,0,0,0,0,0,0,1,55.07,15.72,5.76
108.568885,2,0.027632,0,0,2,0,1,1,0,15.8,0,0,1,0,0,0,1,0,1,63.33,15.71,5.76
95.639228,2,0.020912,0,1,2,1,0,0,1,15.08,1,1,0,0,0,0,1,1,1,97.45,16.4,5.76
78.870089,2,0.063395,0,0,2,1,1,0,0,13.39,0,0,0,0,0,0,0,0,1,72.03,15.74,5.76
110.068591,2,0.027256,0,0,2,1,1,0,0,16.05,0,0,1,0,0,0,1,0,1,69.95,16.03,5.76
83.752575,0,0.0597,0,3,2,1,1,0,0,14.34,0,0,0,0,0,0,0,0,0,50.64,17.65,5.76
162.591415,0,0.012301,1,3,2,1,1,0,0,19.18,0,1,1,1,0,1,1,0,0,22.46,17.37,5.76
76.931027,1,0.012999,0,1,2,1,0,0,1,13.16,0,0,0,0,0,1,1,0,1,99.46,15.85,5.76
89.127113,1,0.02244,1,0,2,1,1,0,0,14.8,0,0,1,0,1,0,0,0,1,54.9,17.95,5.76
90.088089,1,0.0111,0,1,2,0,1,1,0,14.72,0,0,0,0,0,0,0,0,1,107.83,16.78,5.76
92.011288,2,0.010868,0,2,2,1,0,0,1,14.46,0,0,0,0,0,1,1,1,1,101.8,15.61,5.76
109.958751,0,0.027283,0,3,2,0,0,1,1,16.11,1,0,0,0,1,1,1,0,0,43.92,17.52,5.76
79.989509,2,0.037505,0,0,2,1,0,0,1,13.42,1,0,0,1,1,1,1,0,1,73.02,15.92,5.76
88.752582,1,0.056336,0,0,2,1,1,0,0,14.59,1,0,0,0,0,0,0,0,1,73.27,17.72,5.76
